Document Text,year,location
"
History



Acts 2005, No. 1770, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2005,Arkansas
"
History



Acts 1979, No. 5, § 3; A.S.A. 1947, § 19-5603; Acts 2001, No. 988, § 2; 2003, No. 366, §§ 5, 6.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1979,Arkansas
"
History



Acts 1939, No. 105, § 5; 1979, No. 113, § 2; 1983, No. 691, § 10; A.S.A. 1947, §§ 53-102.1, 53-105; Acts 2009, No. 1175, § 2; 2019, No. 315, §§ 1222, 1223; 2019, No. 910, § 3172.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1939,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2015,Arkansas
"
History



Acts 2001, No. 1781, § 4; 2007, No. 1026, § 2; 2013, No. 1221, § 1; 2015, No. 827, §§ 2-6; 2019, No. 464, § 2; 2023, No. 278, § 1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2001,Arkansas
"
History



Acts 1949, No. 472, [Part 2], § 5, as added by Acts 1965, No. 183, § 7; A.S.A. 1947, § 82-1935; Acts 1993, No. 994, § 1; 1995, No. 895, § 4; 1997, No. 179, § 1; 1997, No. 1219, § 6; 1999, No. 1164, § 31; 2013, No. 1302, §§  2, 3; 2019, No. 315, §§ 490-499; 2019, No. 910, §§ 2527-2536.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1949,Arkansas
"
History



Acts 2015, No. 1275, §  1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",2015,Arkansas
"
History



Acts 1981, No. 53, § 2; A.S.A. 1947, § 13-2402.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1981,Arkansas
"
History



Acts 1977, No. 748, § 3; A.S.A. 1947, § 73-2503.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1977,Arkansas
"
History



Acts 1969, No. 641, § 3; 1985, No. 822, § 1; A.S.A. 1947, § 21-2003; Acts 1987, No. 693, § 2; 2001, No. 1184, § 1; 2003, No. 297, § 1; 2019, No. 386, § 31; 2023, No. 691, § 117.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1969,Arkansas
"
History



Acts 1975, No. 142, § 2; 1981, No. 231, § 1; 1981, No. 827, § 1; 1981 (Ex. Sess.), No. 18, § 1; A.S.A. 1947, §§ 20-1702, 20-1702.1.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",1975,Arkansas
"
History



Acts 1991, No. 751, § 4; 1993, No. 479, § 3; 1995, No. 547, § 6; 2009, No. 1220, § 1; 2019, No. 910, §§ 2609­2612.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved
Previous
Next",1991,Arkansas
"
History



Acts 2009, No. 1494, § 1; 2017, No. 271, § 20; 2019, No. 910, § 3232.


Arkansas Code of 1987 Annotated Official Edition
Copyright © 2025 by the State of Arkansas All rights reserved",2009,Arkansas
