Statute,Document Link,state
Section 290.649j,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-290-649j&highlight=energy&queryID=170095218,Michigan
Section 460.1221,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1221&highlight=energy&queryID=170095218,Michigan
Section 324.61501,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-61501&highlight=energy&queryID=170095218,Michigan
Section 445.2001,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-445-2001&highlight=energy&queryID=170095218,Michigan
Section 460.1081,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1081&highlight=energy&queryID=170095218,Michigan
Section 560.242,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-560-242&highlight=energy&queryID=170095218,Michigan
Section 286.946,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-286-946&highlight=energy&queryID=170095218,Michigan
Section 211.1151,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-211-1151&highlight=energy&queryID=170095218,Michigan
Section 124.546,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-124-546&highlight=energy&queryID=170095218,Michigan
Section 211.91,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-211-91&highlight=energy&queryID=170095218,Michigan
Act 615 of 2012,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-615-of-2012&highlight=energy&queryID=170095218,Michigan
Section 400.1235,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-400-1235&highlight=energy&queryID=170095218,Michigan
Section 211.1153,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-211-1153&highlight=energy&queryID=170095218,Michigan
Section 460.1073,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1073&highlight=energy&queryID=170095218,Michigan
Section 460.1085,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1085&highlight=energy&queryID=170095218,Michigan
Section 129.312,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-129-312&highlight=energy&queryID=170095218,Michigan
Section 460.1011,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1011&highlight=energy&queryID=170095218,Michigan
Section 460.1101,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1101&highlight=energy&queryID=170095218,Michigan
Section 460.10h,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-10h&highlight=energy&queryID=170095218,Michigan
